pid,command
76,kworker/R-ipv6_
248,systemd-journal
771,switcheroo-cont
2323,kworker/R-dio/s
2484,evolution-addre
37287,kworker/2:1-i915-unordered
46803,kworker/u9:1
46895,kworker/3:0-events
2,kthreadd
49,khugepaged
737,avahi-daemon
2132,gnome-keyring-d
2151,dbus-daemon
20478,
29947,Isolated Web Co
42,kauditd
2582,ibus-extension-
6,kworker/R-slub_
38001,speech-dispatch
41405,jcef_helper
46707,kworker/u8:2-flush-8:0
2121,pipewire
44951,kworker/u8:1-events_power_efficient
21,cpuhp/1
753,irqbalance
2570,gsd-screensaver
2575,gsd-smartcard
38018,sd_espeak-ng
38034,sd_dummy
75,kworker/R-mld
2115,(sd-pam)
2418,gvfs-udisks2-vo
6353,jetbrains-toolb
12,kworker/R-mm_pe
2544,ibus-daemon
2927,xdg-desktop-por
40800,kworker/1:0-events
68,kworker/R-kthro
71,irq/124-aerdrv
20653,launchpad
46735,kworker/1:2-events_freezable
47202,
47208,
30,ksoftirqd/2
41459,jcef_helper
46704,kworker/2:0-mm_percpu_wq
2547,gsd-color
3976,rustrover
4,kworker/R-rcu_g
18,migration/0
1248,upowerd
38563,kworker/3:1-events
2404,evolution-sourc
2542,gsd-a11y-settin
2594,ibus-portal
20539,kworker/R-dio/o
30590,kworker/u8:29-i915
41474,jcef_helper
20,cpuhp/0
84,kworker/R-kstrp
530,card1-crtc1
533,kworker/R-crypt
2562,gsd-media-keys
20684,predicthost
15,rcu_tasks_trace_kthread
40,kworker/R-inet_
2514,gvfsd-trash
22770,WD-TabNine
28618,Privileged Cont
41486,jcef_helper
166,kworker/R-scsi_
2412,dconf-service
2475,gvfs-goa-volume
2808,snapd-desktop-i
7709,bash
23454,
41452,jcef_helper
47226,
47227,
47220,
26,kworker/1:0H-events_highpri
34,idle_inject/3
52,kworker/R-blkcg
59,kworker/R-md
61,kworker/R-edac-
99,kworker/R-charg
529,card1-crtc0
2426,evolution-calen
28652,snap
22,idle_inject/1
46416,kworker/0:3-events
793,avahi-daemon
883,ModemManager
1255,packagekitd
1412,colord
39971,kworker/2:2-events
46212,kworker/0:2-i915-unordered
47115,rstracer
29,migration/2
2442,gvfs-gphoto2-vo
4010,Xwayland
28270,firefox
47143,
1,systemd
208,jbd2/sda2-8
23192,TabNine-deep-lo
47196,
584,systemd-resolve
733,acpid
6397,update-notifier
20416,
28575,WebExtensions
29050,Isolated Web Co
37416,kworker/0:0-i915-unordered
47198,
585,systemd-timesyn
45146,kworker/0:1-events
60,kworker/R-md_bi
170,scsi_eh_2
998,gdm3
2776,ibus-engine-sim
38369,Isolated Web Co
47089,uuidd
62,kworker/R-devfr
398,kworker/R-cfg80
740,cron
46949,gvfsd-http
17,rcu_preempt
47142,
32,kworker/2:0H-events_highpri
2569,gsd-rfkill
2576,gsd-sound
22735,TabNine
41296,kworker/3:2-events
6699,vdb
47109,sudo
19,idle_inject/0
27,cpuhp/2
2574,gsd-sharing
30048,Isolated Web Co
47055,kworker/u8:3
745,NetworkManager
2529,at-spi2-registr
2540,sh
2610,evolution-alarm
35767,kworker/u8:0-flush-8:0
46760,gjs
47218,
47216,
2563,gsd-power
2965,gjs
20440,docker-proxy
47200,
5,kworker/R-rcu_p
1572,kworker/R-iprt-
2706,snap-store
40271,jcef_helper
41818,bash
169,kworker/R-scsi_
1567,kerneloops
20395,containerd-shim
40291,jcef_helper
47144,lsof
2581,ibus-memconf
20460,
28580,
13,rcu_tasks_kthread
38,kworker/3:0H-events_highpri
41633,kworker/u9:0-i915_flip
46052,kworker/u9:2+i915_flip
2237,gnome-session-c
28918,
28528,
47114,sudo
47,kcompactd0
51,kworker/R-kbloc
2152,xdg-document-po
2313,dbus-daemon
2411,goa-daemon
6357,jetbrains-toolb
67,ecryptfs-kthread
2257,gvfsd-fuse
2565,gsd-print-notif
2998,xdg-desktop-por
40078,pycharm
40296,jcef_helper
7,kworker/R-netns
58,kworker/R-ata_s
72,kworker/R-acpi_
4061,ibus-x11
20446,docker-proxy
28,idle_inject/2
36,ksoftirqd/3
57,kworker/R-tpm_d
2188,krfcommd
2299,at-spi-bus-laun
2689,snapd-desktop-i
38333,Isolated Web Co
16,ksoftirqd/0
66,kswapd0
148,kworker/3:1H-events_highpri
279,systemd-udevd
580,systemd-oomd
2187,gdm-wayland-ses
37585,kworker/1:1-events
187,irq/51-DLL07A0:01
906,influxd
2156,xdg-permission-
38359,Isolated Web Co
40269,jcef_helper
24,ksoftirqd/1
732,accounts-daemon
761,rsyslogd
1093,rtkit-daemon
2908,xdg-desktop-por
11209,dockerd
20660,dotnet
955,unattended-upgr
2123,pulseaudio
122,kworker/2:1H-events_highpri
1573,iprt-VBoxTscThread
2415,gvfsd-metadata
2554,gsd-housekeepin
40306,jcef_helper
63,watchdogd
171,kworker/R-scsi_
760,power-profiles-
2261,gnome-session-b
2528,gjs
40268,jcef_helper
40288,jcef_helper
47065,Web Content
9,kworker/0:0H-events_highpri
44,oom_reaper
53,irq/9-acpi
755,networkd-dispat
1502,gdm-session-wor
28949,Isolated Web Co
518,kworker/R-ttm
2191,gnome-session-b
4238,fsnotifier
9245,snapd
756,polkitd
2437,goa-identity-se
2464,gvfs-afc-volume
2926,tracker-miner-f
6697,TabNine-server-
10949,wpa_supplicant
38436,Web Content
41404,jcef_helper
168,scsi_eh_1
2398,gnome-shell-cal
2452,gvfs-mtp-volume
41432,jcef_helper
14,rcu_tasks_rude_kthread
23,migration/1
48,ksmd
69,irq/122-aerdrv
74,hwrng
774,thermald
2163,fusermount3
46932,streamlit
39,
30778,cups-browsed
40143,fsnotifier
3,pool_workqueue_release
70,irq/123-aerdrv
165,scsi_eh_0
531,card1-crtc2
775,udisksd
2577,gsd-wacom
4030,gsd-xsettings
20462,
40512,Web Content
22778,TabNine
38012,
35,migration/3
119,kworker/0:1H-events_highpri
741,dbus-daemon
2314,gnome-shell
2550,gsd-datetime
2556,gsd-keyboard
2660,gsd-printer
29914,Isolated Web Co
33,cpuhp/3
43,khungtaskd
46,kworker/R-write
50,kworker/R-kinte
64,kworker/1:1H-events_highpri
428,irq/142-iwlwifi
739,bluetoothd
30751,cupsd
2122,pipewire-media-
3057,fwupd
922,containerd
1562,kerneloops
2250,gvfsd
30605,irq/125-mei_me
773,systemd-logind
2597,gsd-disk-utilit
38357,Isolated Web Co
209,kworker/R-ext4-
